run_number,start_timestamp,end_timestamp
1,2024-10-22 14:36:18.458528,2024-10-22 14:36:19.141086
2,2024-10-22 14:36:25.379265,2024-10-22 14:36:26.029680
3,2024-10-22 14:36:32.225468,2024-10-22 14:36:32.903558
4,2024-10-22 14:36:38.575996,2024-10-22 14:36:39.267298
5,2024-10-22 14:36:43.863367,2024-10-22 14:36:44.535679
6,2024-10-22 14:36:49.325224,2024-10-22 14:36:49.955758
7,2024-10-22 14:36:54.507987,2024-10-22 14:36:55.183130
8,2024-10-22 14:36:59.864563,2024-10-22 14:37:00.517489
9,2024-10-22 14:37:04.965058,2024-10-22 14:37:05.621793
10,2024-10-22 14:37:10.721833,2024-10-22 14:37:11.320329
