run_number,start_timestamp,end_timestamp
1,2024-10-22 14:37:16.350220,2024-10-22 14:37:17.065908
2,2024-10-22 14:37:21.633374,2024-10-22 14:37:22.332175
3,2024-10-22 14:37:26.972776,2024-10-22 14:37:27.655888
4,2024-10-22 14:37:32.151451,2024-10-22 14:37:32.814908
5,2024-10-22 14:37:37.354125,2024-10-22 14:37:38.052367
6,2024-10-22 14:37:42.533821,2024-10-22 14:37:43.243840
7,2024-10-22 14:37:48.002555,2024-10-22 14:37:48.666109
8,2024-10-22 14:37:53.274780,2024-10-22 14:37:53.994308
9,2024-10-22 14:37:58.787146,2024-10-22 14:37:59.525288
10,2024-10-22 14:38:04.092182,2024-10-22 14:38:04.759825
