run_number,start_timestamp,end_timestamp
1,2024-10-22 14:38:10.417998,2024-10-22 14:38:11.093212
2,2024-10-22 14:38:16.061075,2024-10-22 14:38:16.750499
3,2024-10-22 14:38:21.381441,2024-10-22 14:38:22.102874
4,2024-10-22 14:38:26.790719,2024-10-22 14:38:27.495676
5,2024-10-22 14:38:32.000548,2024-10-22 14:38:32.701838
6,2024-10-22 14:38:37.310110,2024-10-22 14:38:37.965088
7,2024-10-22 14:38:42.630192,2024-10-22 14:38:43.270353
8,2024-10-22 14:38:48.069627,2024-10-22 14:38:48.736441
9,2024-10-22 14:38:53.350961,2024-10-22 14:38:54.011546
10,2024-10-22 14:38:58.839506,2024-10-22 14:38:59.539862
