run_number,start_timestamp,end_timestamp
1,2024-10-22 10:21:12.051455,2024-10-22 10:21:12.985336
2,2024-10-22 10:21:22.048347,2024-10-22 10:21:22.972252
3,2024-10-22 10:21:31.995665,2024-10-22 10:21:32.928443
4,2024-10-22 10:21:42.150100,2024-10-22 10:21:43.068474
5,2024-10-22 10:21:52.017759,2024-10-22 10:21:52.954979
6,2024-10-22 10:22:02.026739,2024-10-22 10:22:02.964195
7,2024-10-22 10:22:12.089801,2024-10-22 10:22:13.022518
8,2024-10-22 10:22:21.998669,2024-10-22 10:22:22.950181
9,2024-10-22 10:22:32.034824,2024-10-22 10:22:32.968021
10,2024-10-22 10:22:41.986659,2024-10-22 10:22:42.922080
