run_number,start_timestamp,end_timestamp
1,2024-10-22 10:19:27.332138,2024-10-22 10:19:29.247156
2,2024-10-22 10:19:37.522148,2024-10-22 10:19:39.449027
3,2024-10-22 10:19:47.801033,2024-10-22 10:19:49.713700
4,2024-10-22 10:19:58.046802,2024-10-22 10:19:59.973647
5,2024-10-22 10:20:08.338966,2024-10-22 10:20:10.244871
6,2024-10-22 10:20:18.662802,2024-10-22 10:20:20.603515
7,2024-10-22 10:20:28.878519,2024-10-22 10:20:30.808554
8,2024-10-22 10:20:39.246618,2024-10-22 10:20:41.198066
9,2024-10-22 10:20:49.466588,2024-10-22 10:20:51.376258
10,2024-10-22 10:21:00.913316,2024-10-22 10:21:02.873701
