run_number,start_timestamp,end_timestamp
1,2024-10-22 10:22:52.232523,2024-10-22 10:22:52.720679
2,2024-10-22 10:23:01.666228,2024-10-22 10:23:02.205390
3,2024-10-22 10:23:11.693499,2024-10-22 10:23:12.194710
4,2024-10-22 10:23:21.771715,2024-10-22 10:23:22.455360
5,2024-10-22 10:23:31.521696,2024-10-22 10:23:32.006127
6,2024-10-22 10:23:40.691618,2024-10-22 10:23:41.170917
7,2024-10-22 10:23:49.796186,2024-10-22 10:23:50.288620
8,2024-10-22 10:23:58.948238,2024-10-22 10:23:59.467037
9,2024-10-22 10:24:08.067007,2024-10-22 10:24:08.566205
10,2024-10-22 10:24:17.323853,2024-10-22 10:24:17.819629
