embedding_start_time,embedding_end_time,retrieval_end_time,ask_model_end_time,run_number
2024-10-24 20:33:57.401521,2024-10-24 20:33:57.449745,2024-10-24 20:33:57.482339,2024-10-24 20:34:02.876593,1
2024-10-24 20:34:02.876593,2024-10-24 20:34:02.941027,2024-10-24 20:34:02.957920,2024-10-24 20:34:09.918908,1
2024-10-24 20:34:09.918908,2024-10-24 20:34:09.983658,2024-10-24 20:34:10.000038,2024-10-24 20:34:15.901537,1
2024-10-24 20:34:15.901537,2024-10-24 20:34:15.943770,2024-10-24 20:34:15.958593,2024-10-24 20:34:23.998103,1
2024-10-24 20:34:23.998417,2024-10-24 20:34:24.041189,2024-10-24 20:34:24.073724,2024-10-24 20:34:26.634256,1
2024-10-24 20:34:26.634256,2024-10-24 20:34:26.666864,2024-10-24 20:34:26.699438,2024-10-24 20:34:30.637012,1
2024-10-24 20:34:30.637012,2024-10-24 20:34:30.663461,2024-10-24 20:34:30.695451,2024-10-24 20:34:47.703557,1
2024-10-24 20:34:47.704066,2024-10-24 20:34:47.736035,2024-10-24 20:34:47.752311,2024-10-24 20:34:48.814240,1
2024-10-24 20:34:48.814240,2024-10-24 20:34:48.862425,2024-10-24 20:34:48.899035,2024-10-24 20:34:53.439226,1
2024-10-24 20:34:53.439226,2024-10-24 20:34:53.471698,2024-10-24 20:34:53.503588,2024-10-24 20:34:59.761662,1
2024-10-24 20:45:43.591462,2024-10-24 20:45:43.653968,2024-10-24 20:45:43.773225,2024-10-24 20:45:59.380099,1
2024-10-24 20:45:59.392917,2024-10-24 20:45:59.502304,2024-10-24 20:45:59.518206,2024-10-24 20:46:12.290150,1
2024-10-24 20:46:12.290150,2024-10-24 20:46:12.373292,2024-10-24 20:46:12.388878,2024-10-24 20:46:25.576499,1
2024-10-24 20:46:25.576499,2024-10-24 20:46:25.668765,2024-10-24 20:46:25.687340,2024-10-24 20:46:31.630076,1
2024-10-24 20:46:31.630640,2024-10-24 20:46:31.756550,2024-10-24 20:46:31.769536,2024-10-24 20:46:47.758073,1
2024-10-24 20:46:47.758073,2024-10-24 20:46:47.837192,2024-10-24 20:46:47.868449,2024-10-24 20:47:00.786548,1
2024-10-24 20:47:00.786548,2024-10-24 20:47:00.865449,2024-10-24 20:47:00.881117,2024-10-24 20:47:06.796020,1
2024-10-24 20:47:06.796020,2024-10-24 20:47:06.873822,2024-10-24 20:47:06.905792,2024-10-24 20:47:19.568256,1
2024-10-24 20:47:19.568256,2024-10-24 20:47:19.693935,2024-10-24 20:47:19.709505,2024-10-24 20:47:25.890536,1
2024-10-24 20:47:25.890536,2024-10-24 20:47:25.978283,2024-10-24 20:47:26.012248,2024-10-24 20:47:30.665044,1
2024-10-24 20:47:50.154215,2024-10-24 20:47:50.232367,2024-10-24 20:47:50.264202,2024-10-24 20:48:17.138907,2
2024-10-24 20:48:17.140766,2024-10-24 20:48:17.251624,2024-10-24 20:48:17.264728,2024-10-24 20:48:30.168036,2
2024-10-24 20:48:30.168587,2024-10-24 20:48:30.247339,2024-10-24 20:48:30.263001,2024-10-24 20:48:42.220102,2
2024-10-24 20:48:42.220102,2024-10-24 20:48:42.310947,2024-10-24 20:48:42.326228,2024-10-24 20:49:06.096514,2
2024-10-24 20:49:06.097050,2024-10-24 20:49:06.223068,2024-10-24 20:49:06.243400,2024-10-24 20:49:24.421185,2
2024-10-24 20:49:24.421767,2024-10-24 20:49:24.502227,2024-10-24 20:49:24.523917,2024-10-24 20:49:30.639502,2
2024-10-24 20:49:30.640012,2024-10-24 20:49:30.718174,2024-10-24 20:49:30.755380,2024-10-24 20:49:48.980969,2
2024-10-24 20:49:48.980969,2024-10-24 20:49:49.049233,2024-10-24 20:49:49.064875,2024-10-24 20:49:57.311646,2
2024-10-24 20:49:57.312155,2024-10-24 20:49:57.441136,2024-10-24 20:49:57.456694,2024-10-24 20:50:01.666799,2
2024-10-24 20:50:01.667318,2024-10-24 20:50:01.745585,2024-10-24 20:50:01.761232,2024-10-24 20:50:09.859404,2
